sample_ID,Week,Date,Site,abs_664,abs_665,Acetone_chla,PhytoPAM_chla,fit_error,Year,error,error2
A18,14,8/20/2019,Lake Three Fires,0.043,0.026,30.26,42.03333333,0,2019,0.389072483,38.90724829
B2,5,6/19/2020,Lake Darling,0.043,0.026,133.5,160.9,0,2020,0.205243446,20.52434457
B4,7,6/30/2020,Green Valley,0.02,0.011,81.92,62.93333333,0,2020,-0.231770833,23.17708333
B5,7,6/30/2020,Green Valley 2x Dilution,0.01,0.005,81.734,56.4,0,2020,-0.309956689,30.99566888
B8,7,7/1/2020,Lake Three Fires,0.038,0.023,107.276,91.2,0,2020,-0.149856445,14.98564451
B10,7,7/1/2020,Prairie Rose,0.04,0.024,130.775,133.1666667,0,2020,0.018288409,1.828840884
B19,8,7/7/2020,Green Valley,0.053,0.03,200.25,162.6,0,2020,-0.188014981,18.80149813
B22,8,7/8/2020,Lake Darling,0.015,0.008,66.75,96.2,0,2020,0.441198502,44.11985019
B24,8,7/7/2020,North Twin East,0.017,0.01,63,73.6,0,2020,0.168253968,16.82539683
B31,5,6/16/2020,Green Valley,0.027,0.016,88.11,83.05,0,2020,-0.057428215,5.742821473
B34,9,7/14/2020,Viking Lake,0.013,0.006,30.8077,26.56666667,0,2020,-0.137661472,13.76614721
B38,9,7/15/2020,Lake Darling,0.026,0.015,102.453,96.2,0,2020,-0.061032864,6.103286385
B56,10,7/21/2020,Green Valley,0.026,0.014,139.304,97,0,2020,-0.303681158,30.36811578
B57,10,7/21/2020,Lake Keomah,0.012,0.007,54.122,71.06666667,0,2020,0.313082788,31.30827883
B59,10,7/21/2020,Lake Three Fires,0.015,0.007,86.594,80.5,0,2020,-0.070374391,7.037439084
B61,10,7/20/2020,Lake Keosaqua,0.005,0.004,8.344,8.9,0,2020,0.066634708,6.663470757
B62,10,7/20/2020,Honey Creek Resort,0.025,0.016,81.92045455,89.86666667,0,2020,0.096999121,9.699912147
B64,10,7/20/2020,Red Haw,0.018,0.012,49.04081633,49.2,0,2020,0.003245943,0.324594257
B68,10,7/21/2020,Prairie Rose,0.024,0.014,80.1,83.8,0,2020,0.04619226,4.619225968
B72,11,7/27/2020,Honey Creek Resort,0.027,0.016,86.38235294,124,0,2020,0.435478379,43.54783793
B74,11,7/27/2020,Union Grove,0.02,0.014,49.04081633,66,0,2020,0.345817728,34.58177278
B80,11,7/29/2020,Clear Lake,0.007,0.004,24.03,34.93333333,0,2020,0.453738383,45.37383826
B81,11,7/29/2020,Prairie Rose,0.031,0.018,236.6590909,243.7,0,2020,0.029751272,2.975127245
B85,11,7/28/2020,Lake Manawa,0.02,0.012,62.82352941,75.43333333,0,2020,0.200717853,20.07178527
B86,11,7/28/2020,Green Valley,0.045,0.028,194.5285714,147.1,0,2020,-0.243812881,24.3812881
B90,12,8/3/2020,Union Grove,0.03,0.018,104.4782609,158.4333333,0,2020,0.516423915,51.64239146
B92,12,8/3/2020,Big Creek,0.016,0.009,62.3,143.7,0,2020,1.306581059,130.6581059
B95,12,8/3/2020,Honey Creek Resort,0.009,0.004,40.05,44.4,0,2020,0.108614232,10.86142322
B96,12,8/4/2020,Marble Beach,0.032,0.018,127.4318182,194.8666667,0,2020,0.529183758,52.91837584
B99,12,8/4/2020,Prairie Rose,0.057,0.034,184.23,264.5333333,0,2020,0.435886302,43.58863015
B100,12,8/5/2020,Clear Lake,0.004,0,32.04,28.6,0,2020,-0.107365793,10.73657928
C4,4,6/11/2019,Blackhawk,0.015,0.008,9.345,5.6,> 1,2019,-0.400749064,40.07490637
